Chuvash&-22.2&-107.9&0.736&0.707\\
Balkar&-23.8&-111.8&0.006&0.014\\
Kumyk&-23.8&-111.1&0.006&0.029\\
Bashkir&-24.2&-111.5&0.006&0.02\\
Kyrgyz&-24.8&-115.2&0.002&0.0\\
Uigur&-24.8&-114.5&0.002&0.001\\
Tatar&-25.6&-112.3&0.001&0.009\\
Karakalpak&-27.0&-115.2&0.0&0.0\\
Kazakh&-26.6&-115.1&0.0&0.001\\
Uzbek&-27.0&-116.3&0.0&0.0\\
Nogai&-27.0&-116.2&0.0&0.0\\
Khakassian&-23.2&-110.8&0.026&0.039\\
Shor&-23.2&-111.3&0.026&0.023\\
N. Altai&-23.2&-111.1&0.026&0.029\\
S. Altai&-23.2&-111.2&0.026&0.026\\
Yakut&-23.1&-113.4&0.042&0.003\\
Tuvinian&-23.1&-110.6&0.042&0.049\\
Turkish&-23.6&-112.6&0.009&0.006\\
Gagauz&-23.6&-112.9&0.009&0.005\\
Azeri&-23.6&-111.0&0.009&0.032\\
Turkmen&-23.6&-112.7&0.025&0.006\\
