Ge`ez&-25.6&0.005&-26.7&0.0\\
Tigrinya&-27.1&0.001&-28.2&0.0\\
Tigre&-27.1&0.0&-28.2&0.0\\
Zway&-30.2&0.0&-31.4&0.0\\
Walani&-28.8&0.0&-30.0&0.0\\
Harari&-25.8&0.001&-27.0&0.0\\
Amharic&-27.2&0.0&-28.3&0.0\\
Argobba&-27.2&0.0&-28.3&0.0\\
Gafat&-26.1&0.001&-27.2&0.0\\
Innemor&-29.2&0.0&-30.4&0.0\\
Mesqan&-30.7&0.0&-31.8&0.0\\
Geto&-30.7&0.0&-31.8&0.0\\
Chaha&-29.2&0.0&-30.4&0.0\\
Mesmes&-27.8&0.0&-28.9&0.0\\
Soddo&-26.2&0.0&-27.4&0.0\\
Jibbali&-25.3&0.006&-26.5&0.0\\
Soqotri&-25.3&0.005&-26.5&0.0\\
Harsusi&-25.3&0.005&-26.5&0.0\\
Mehri&-25.3&0.009&-26.5&0.0\\
Ogaden Arabic&-25.6&0.015&-26.7&0.0\\
Moroccan Arabic&-25.1&0.002&-26.3&0.0\\
Ugaritic&-25.4&0.112&-26.6&0.001\\
Hebrew&-26.6&0.007&-27.7&0.0\\
Aramaic&-26.6&0.011&-27.7&0.0\\
Eblaite&-24.8&0.725&-24.8&0.034\\
Akkadian&-25.1&0.094&-23.1&0.965\\
