Ge`ez&-24.9&-104.8&0.004&0.054\\
Tigrinya&-26.4&-104.9&0.001&0.049\\
Tigre&-26.4&-106.3&0.001&0.012\\
Zway&-29.6&-106.3&0.0&0.012\\
Walani&-28.1&-107.5&0.0&0.003\\
Harari&-25.1&-105.8&0.002&0.019\\
Amharic&-26.5&-105.6&0.0&0.024\\
Argobba&-26.5&-105.6&0.0&0.023\\
Gafat&-25.4&-105.1&0.001&0.04\\
Innemor&-28.5&-108.2&0.0&0.002\\
Mesqan&-30.0&-106.7&0.0&0.008\\
Geto&-30.0&-107.1&0.0&0.005\\
Chaha&-28.5&-108.2&0.0&0.002\\
Mesmes&-27.1&-107.0&0.0&0.006\\
Soddo&-25.5&-105.7&0.0&0.021\\
Jibbali&-24.6&-105.1&0.013&0.04\\
Soqotri&-24.6&-105.5&0.013&0.027\\
Harsusi&-24.6&-105.2&0.013&0.035\\
Mehri&-24.6&-104.7&0.013&0.058\\
Ogaden Arabic&-24.9&-105.3&0.033&0.033\\
Moroccan Arabic&-24.4&-107.6&0.033&0.003\\
Ugaritic&-24.7&-105.5&0.019&0.026\\
Hebrew&-25.9&-106.4&0.005&0.01\\
Aramaic&-25.9&-105.8&0.005&0.019\\
Akkadian&-23.3&-102.6&0.841&0.469\\
