AfroAsia ,9,12
Altaic ,6,8
Amerind,9,11
Austric,8,12
Austral,9,12
Burushask,3,6
Caucasian,4,7
Chukchi,3,6
ElamoDra,4,6
EskimoAl,4,5
IndoHitt,7,9
IndoPac,8,10
Khet,3,5
Khoisan,10,12
NaDene,6,8
NigerKord,10,12
NiloSahar,10,12
SinoTibet,6,8
UralicYuk,5,7
